run_id,run_timestamp_utc,row_type,label_target,model,feature_set,preprocessing,top_fraction,train_fraction,test_fraction,step_fraction,total_rows,fold_index,train_start,train_end,test_start,test_end,train_pos_rate,test_pos_rate,roc_auc,pr_auc,precision_top,regime_hot_roc,regime_hot_ptop,regime_cool_roc,regime_cool_ptop,n_features_after_preproc,xgb_tuned_params,roc_mean,roc_std,roc_min,roc_max,pr_mean,pr_std,ptop_mean,ptop_std,ptop_min,ptop_max,baseline_roc_mean,baseline_ptop_mean,roc_delta,ptop_delta,decision
20260305T073814Z,2026-03-05T07:38:14.638698,fold,fixed,xgboost,base,robust,0.1,0.6,0.2,0.1,5078,1,0,3046,3046,4061,0.15594221930400526,0.15270935960591134,0.5260202550637659,0.1586847582856024,0.13725490196078433,0.5256865434788456,0.12962962962962962,0.5268248298173486,0.16666666666666666,8,,,,,,,,,,,,,,,,
20260305T073814Z,2026-03-05T07:38:14.638698,fold,fixed,xgboost,base,robust,0.1,0.6,0.2,0.1,5078,2,507,3553,3553,4568,0.14445173998686803,0.1724137931034483,0.5718299319727891,0.2130391741172999,0.24509803921568626,0.6223850574712644,0.23076923076923078,0.5309811565951916,0.24,8,,,,,,,,,,,,,,,,
20260305T073814Z,2026-03-05T07:38:14.638698,fold,fixed,xgboost,base,robust,0.1,0.6,0.2,0.1,5078,3,1014,4060,4060,5075,0.14773473407747867,0.1438423645320197,0.5719690401500701,0.18793624400883602,0.18627450980392157,0.5801983218916856,0.14545454545454545,0.5659568857538401,0.25,8,,,,,,,,,,,,,,,,
20260305T073814Z,2026-03-05T07:38:14.638698,summary,fixed,xgboost,base,robust,0.1,0.6,0.2,0.1,5078,3,,,,,,,,,,,,,,,,0.5566064090622084,0.02162775146401145,0.5260202550637659,0.5719690401500701,0.18655339213724612,0.022211631180912718,0.1895424836601307,0.044087377657621045,0.13725490196078433,0.24509803921568626,,,,,N/A
20260305T081457Z,2026-03-05T08:14:57.538292,fold,fixed,xgboost,cross_rank,robust,0.1,0.6,0.2,0.1,5477,1,0,3286,3286,4381,0.1545952525867316,0.15799086757990868,0.5491831028299876,0.17929541785795478,0.17272727272727273,0.5827043520154167,0.125,0.5258643222050612,0.2037037037037037,14,,,,,,,,,,,,,,,,
20260305T081457Z,2026-03-05T08:14:57.538292,fold,fixed,xgboost,cross_rank,robust,0.1,0.6,0.2,0.1,5477,2,547,3833,3833,4928,0.14607425441265978,0.15342465753424658,0.5471695690142292,0.19094190058561591,0.22727272727272727,0.6347682950645872,0.24561403508771928,0.4845726702076292,0.2037037037037037,14,,,,,,,,,,,,,,,,
20260305T081457Z,2026-03-05T08:14:57.538292,fold,fixed,xgboost,cross_rank,robust,0.1,0.6,0.2,0.1,5477,3,1094,4380,4380,5475,0.14820450395617774,0.13789954337899543,0.5726863284319227,0.17508163500146284,0.19090909090909092,0.581574844074844,0.17543859649122806,0.5615550755939525,0.16666666666666666,14,,,,,,,,,,,,,,,,
20260305T081457Z,2026-03-05T08:14:57.538292,summary,fixed,xgboost,cross_rank,robust,0.1,0.6,0.2,0.1,5477,3,,,,,,,,,,,,,,,,0.5563463334253798,0.011583325867158784,0.5471695690142292,0.5726863284319227,0.18177298448167786,0.0067077446970501935,0.196969696969697,0.022676711434993578,0.17272727272727273,0.22727272727272727,,,,,N/A
20260305T082100Z,2026-03-05T08:21:00.279192,fold,adaptive,logistic,cross_rank,robust,0.1,0.6,0.2,0.1,5477,1,0,3286,3286,4381,0.20815581253804016,0.2054794520547945,0.5631570881226055,0.24221316614818755,0.23636363636363636,0.5544782450612047,0.21428571428571427,0.573133896060907,0.2962962962962963,14,,,,,,,,,,,,,,,,
20260305T082100Z,2026-03-05T08:21:00.279192,fold,adaptive,logistic,cross_rank,robust,0.1,0.6,0.2,0.1,5477,2,547,3833,3833,4928,0.20754716981132076,0.20639269406392693,0.533880872124403,0.2312387409446472,0.2909090909090909,0.5725206916159468,0.3157894736842105,0.5052207875019927,0.25925925925925924,14,,,,,,,,,,,,,,,,
20260305T082100Z,2026-03-05T08:21:00.279192,fold,adaptive,logistic,cross_rank,robust,0.1,0.6,0.2,0.1,5477,3,1094,4380,4380,5475,0.20663420572124164,0.21643835616438356,0.5140991216940585,0.2240635199467595,0.22727272727272727,0.5344722041550292,0.22807017543859648,0.493408929836995,0.2222222222222222,14,,,,,,,,,,,,,,,,
20260305T082100Z,2026-03-05T08:21:00.279192,summary,adaptive,logistic,cross_rank,robust,0.1,0.6,0.2,0.1,5477,3,,,,,,,,,,,,,,,,0.5370456939803556,0.02015247032931773,0.5140991216940585,0.5631570881226055,0.2325051423465314,0.007463477459927721,0.2515151515151515,0.028101874228774856,0.22727272727272727,0.2909090909090909,,,,,N/A
20260305T082240Z,2026-03-05T08:22:40.289953,fold,adaptive,logistic,cross_rank,robust,0.1,0.6,0.2,0.1,5602,1,0,3361,3361,4481,0.20856887831002677,0.20357142857142857,0.5745269845016128,0.24966333787730005,0.26785714285714285,0.5943905279503106,0.3275862068965517,0.5600854086845466,0.23636363636363636,14,,,,,,,,,,,,,,,,
20260305T082240Z,2026-03-05T08:22:40.289953,fold,adaptive,logistic,cross_rank,robust,0.1,0.6,0.2,0.1,5602,2,560,3921,3921,5041,0.20648616483189527,0.21339285714285713,0.5265175081568586,0.23175646191097865,0.26785714285714285,0.5434442975603894,0.25862068965517243,0.5168897854392078,0.2727272727272727,14,,,,,,,,,,,,,,,,
20260305T082240Z,2026-03-05T08:22:40.289953,fold,adaptive,logistic,cross_rank,robust,0.1,0.6,0.2,0.1,5602,3,1120,4481,4481,5601,0.2067836953287712,0.22410714285714287,0.509345815816137,0.23030999131046592,0.23214285714285715,0.5136363636363637,0.21428571428571427,0.5030872435452589,0.25,14,,,,,,,,,,,,,,,,
20260305T082240Z,2026-03-05T08:22:40.289953,summary,adaptive,logistic,cross_rank,robust,0.1,0.6,0.2,0.1,5602,3,,,,,,,,,,,,,,,,0.5367967694915361,0.027584942728368537,0.509345815816137,0.5745269845016128,0.2372432636995815,0.008802149405478925,0.25595238095238093,0.016835875742536838,0.23214285714285715,0.26785714285714285,,,,,N/A
